30
(-1, 0, 0.0) (0.0, 1.0, 0.0) (0.0, 0.0)
(-0.866667, 0.648889, 0.0) (0.0, 1.0, 0.0) (0.0, 0.0)
(-0.733333, 1.26222, 0.0) (0.0, 1.0, 0.0) (0.0, 0.0)
(-0.6, 1.84, 0.0) (0.0, 1.0, 0.0) (0.0, 0.0)
(-0.466667, 2.38222, 0.0) (0.0, 1.0, 0.0) (0.0, 0.0)
(-0.333333, 2.88889, 0.0) (0.0, 1.0, 0.0) (0.0, 0.0)
(-0.2, 3.36, 0.0) (0.0, 1.0, 0.0) (0.0, 0.0)
(-0.0666667, 3.79556, 0.0) (0.0, 1.0, 0.0) (0.0, 0.0)
(0.0666666, 4.19556, 0.0) (0.0, 1.0, 0.0) (0.0, 0.0)
(0.2, 4.56, 0.0) (0.0, 1.0, 0.0) (0.0, 0.0)
(0.333333, 4.88889, 0.0) (0.0, 1.0, 0.0) (0.0, 0.0)
(0.466667, 5.18222, 0.0) (0.0, 1.0, 0.0) (0.0, 0.0)
(0.6, 5.44, 0.0) (0.0, 1.0, 0.0) (0.0, 0.0)
(0.733333, 5.66222, 0.0) (0.0, 1.0, 0.0) (0.0, 0.0)
(0.866667, 5.84889, 0.0) (0.0, 1.0, 0.0) (0.0, 0.0)
(1, 6, 0.0) (0.0, 1.0, 0.0) (0.0, 0.0)
(1.13333, 6.11556, 0.0) (0.0, 1.0, 0.0) (0.0, 0.0)
(1.26667, 6.19556, 0.0) (0.0, 1.0, 0.0) (0.0, 0.0)
(1.4, 6.24, 0.0) (0.0, 1.0, 0.0) (0.0, 0.0)
(1.53333, 6.24889, 0.0) (1.0, 0.0, 0.0) (0.0, 0.0)
(1.66667, 6.22222, 0.0) (1.0, 0.0, 0.0) (0.0, 0.0)
(1.8, 6.16, 0.0) (1.0, 0.0, 0.0) (0.0, 0.0)
(1.93333, 6.06222, 0.0) (1.0, 0.0, 0.0) (0.0, 0.0)
(2.06667, 5.92889, 0.0) (1.0, 0.0, 0.0) (0.0, 0.0)
(2.2, 5.76, 0.0) (1.0, 0.0, 0.0) (0.0, 0.0)
(2.33333, 5.55556, 0.0) (1.0, 0.0, 0.0) (0.0, 0.0)
(2.46667, 5.31556, 0.0) (1.0, 0.0, 0.0) (0.0, 0.0)
(2.6, 5.04, 0.0) (1.0, 0.0, 0.0) (0.0, 0.0)
(2.73333, 4.72889, 0.0) (1.0, 0.0, 0.0) (0.0, 0.0)
(2.86667, 4.38222, 0.0) (1.0, 0.0, 0.0) (0.0, 0.0)
